id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,35,2777,19,17.914700919762254,8,5.09992503747344,92,27,5,0,F S,Barcelona,15,14.941590474918485,25.661629386246204,9.227330034598708
11822,Fermín López,31,1447,8,8.455701429396868,0,1.420464774593711,51,17,2,0,F M S,Barcelona,8,8.455701429396868,12.826990146189928,3.3985758498311043
6441,Ferrán Torres,29,1168,7,6.14692690782249,2,2.06962201744318,38,26,2,0,F M S,Barcelona,7,6.14692690782249,11.046764150261879,4.374510854482651
7892,João Félix,30,1530,7,8.801812421530485,3,3.087745688855648,61,19,3,0,F M S,Barcelona,7,8.801812421530485,17.652851674705744,7.777922375127673
8026,Raphinha,28,1385,6,7.7319870218634605,9,6.221527995541692,59,40,4,1,F M S,Barcelona,5,6.988709412515163,14.769633650779724,7.721641294658184
314,Ilkay Gündogan,36,3014,5,7.261162165552378,9,10.576679192483425,43,97,5,0,M S,Barcelona,4,5.774606849998236,30.591652281582355,20.01150991767645
11527,Lamine Yamal,37,2186,5,5.792876272462308,5,6.7015321627259254,58,39,3,0,D F M S,Barcelona,5,5.792876272462308,22.475352063775063,12.034275501966476
8935,Pedri,24,1482,4,3.1283660791814327,2,4.8382852748036385,15,37,3,0,F M S,Barcelona,4,3.1283660791814327,17.99414351582527,12.402524460107088
2104,Sergi Roberto,14,861,3,1.7566438242793083,2,0.92743831127882,10,10,4,0,D M S,Barcelona,3,1.7566438242793083,7.062162987887859,5.1875479854643345
200,Andreas Christensen,30,2071,2,0.7326760925352573,2,1.1259709149599075,11,6,4,0,D M S,Barcelona,2,0.7326760925352573,11.990120647475123,11.355757901445031
2379,João Cancelo,32,2522,2,2.178373849950731,4,6.667653251439333,31,35,7,0,D M S,Barcelona,2,2.178373849950731,20.926805324852467,15.549591969698668
7781,Frenkie de Jong,20,1641,2,1.0600792113691568,0,2.509486421942711,7,21,7,0,D M,Barcelona,2,1.0600792113691568,17.80471708625555,15.505143828690052
12302,Vitor Roque,14,298,2,2.888690084218979,0,0.060693223029375076,13,1,2,1,F S,Barcelona,2,2.888690084218979,2.972983691841364,0.02360038459300995
6433,Jules Koundé,35,2887,1,1.76188949868083,2,2.4667577035725117,24,23,4,0,D S,Barcelona,1,1.76188949868083,23.405811548233032,22.4094820022583
8091,Ronald Araújo,25,1992,1,2.4427372300997376,2,1.7349820882081985,23,8,6,0,D S,Barcelona,1,2.4427372300997376,12.875288758426905,11.938473954796791
9804,Gavi,12,939,1,1.0798097513616085,1,1.3673980422317982,10,11,5,0,F M S,Barcelona,1,1.0798097513616085,7.008280975744128,5.830359412357211
11633,Marc Guiu,3,75,1,0.9520300701260567,0,0.32365643978118896,4,1,1,0,F S,Barcelona,1,0.9520300701260567,1.3621556162834167,0.08646910637617111
842,Oriol Romeu,28,932,0,0.4870307557284832,1,1.0925833769142628,10,7,4,0,M S,Barcelona,0,0.4870307557284832,6.967861384153366,5.97800425440073
1621,Marcos Alonso,5,250,0,0.06457315385341644,0,0.6204419042915106,3,5,0,0,D S,Barcelona,0,0.06457315385341644,1.7688512280583382,1.1844583824276924
2090,Marc-André ter Stegen,28,2520,0,0,0,0.06931363791227341,0,1,3,0,GK,Barcelona,0,0,10.277078991755843,10.277078991755843
2484,Iñigo Martínez,20,1276,0,0.5659955367445946,0,0.017293715849518776,8,1,5,0,D S,Barcelona,0,0.5659955367445946,9.240256048738956,9.240256048738956
7287,Iñaki Peña,10,900,0,0,0,0,0,0,0,0,GK,Barcelona,0,0,3.1926888525485992,3.1926888525485992
7967,Anssumane Fati,3,26,0,0.851670041680336,0,0,7,0,0,0,S,Barcelona,0,0.851670041680336,1.3263437449932098,0.474673705175519
8045,Eric Garcia,2,44,0,0.07676322758197784,0,0,1,0,1,0,S,Barcelona,0,0.07676322758197784,0.9130409061908722,0.9130409061908722
9805,Álex Balde,18,1379,0,0.15130091831088066,1,1.0918369684368372,5,12,1,0,D M S,Barcelona,0,0.15130091831088066,9.58990053460002,8.505029190331697
10095,Abdessamad Ezzalzouli,2,51,0,0.4675174970179796,0,0.10185271501541138,4,2,0,0,S,Barcelona,0,0.4675174970179796,1.080270379781723,0.5527681559324265
11151,Marc Casadó,2,11,0,0,0,0,0,0,0,0,S,Barcelona,0,0,0,0
12005,Pau Cubarsí,19,1581,0,0.08484268933534622,0,0.5032942704856396,3,5,4,0,D S,Barcelona,0,0.08484268933534622,8.70684488862753,8.553266756236553
12171,Hector Fort,7,318,0,0.02244633622467518,2,0.7645399570465088,1,3,0,0,D S,Barcelona,0,0.02244633622467518,2.2197200804948807,1.5228757560253143
