id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,7,329,4,4.8330285251140594,0,0.31363558769226074,15,1,0,0,F S,Barcelona,4,4.089750900864601,5.087703198194504,0.9979521185159683
6441,Ferrán Torres,8,557,4,4.514681190252304,1,1.047933790832758,23,8,1,0,F M S,Barcelona,4,4.514681190252304,7.078460335731506,2.0431098490953445
8026,Raphinha,6,398,3,2.3160031605511904,2,1.7994441706687212,16,12,2,0,F M S,Barcelona,3,2.3160031605511904,5.8543441593647,2.3617231249809265
8091,Ronald Araújo,7,417,2,0.7521425969898701,0,0.048510245978832245,5,1,2,0,D S,Barcelona,2,0.7521425969898701,1.7959242314100266,1.2886724472045898
8935,Pedri,9,767,2,1.124854987487197,1,2.5186247304081917,12,22,0,0,M,Barcelona,2,1.124854987487197,9.321972332894802,7.080904088914394
11527,Lamine Yamal,5,366,2,1.8523875623941422,4,1.8287816569209099,26,10,0,0,M S,Barcelona,1,1.1091099455952644,4.179852478206158,2.572088748216629
11822,Fermín López,5,235,2,0.5651003867387772,0,0.9679837971925735,11,4,0,0,M S,Barcelona,2,0.5651003867387772,3.5763207376003265,2.5594291016459465
556,Marcus Rashford,9,552,1,2.2108531622216105,3,1.8122471049427986,27,16,1,0,M S,Barcelona,1,2.2108531622216105,4.285893975757062,1.458222920075059
6433,Jules Koundé,9,563,1,0.24450384080410004,0,0.1176590584218502,3,3,2,0,D S,Barcelona,1,0.24450384080410004,4.850697111338377,4.65995117649436
8045,Eric Garcia,9,676,1,1.8322530835866928,0,0.6731312088668346,9,13,0,0,D S,Barcelona,1,1.8322530835866928,6.966683447360992,6.36066198348999
8292,Dani Olmo,8,473,1,1.8879101481288671,2,1.7116016205400229,20,13,0,0,M S,Barcelona,1,1.8879101481288671,6.961017221212387,4.087579280138016
200,Andreas Christensen,7,302,0,0.12629129365086555,0,0.015875261276960373,2,1,1,0,D S,Barcelona,0,0.12629129365086555,2.0094043612480164,1.9935290962457657
1244,Wojciech Szczesny,3,270,0,0,0,0,0,0,0,0,GK,Barcelona,0,0,1.7176604941487312,1.7176604941487312
7781,Frenkie de Jong,7,556,0,0.1793561726808548,2,0.8469884097576141,2,10,1,0,M S,Barcelona,0,0.1793561726808548,6.059363074600697,5.133878193795681
9773,Joan García,6,540,0,0,0,0,0,0,0,0,GK,Barcelona,0,0,1.8715436458587646,1.8715436458587646
9804,Gavi,2,50,0,0,1,0.14011242240667343,0,3,0,0,S,Barcelona,0,0,0.5714934319257736,0.46363574266433716
9805,Álex Balde,5,355,0,0.08980410918593407,0,0.5561137348413467,2,7,1,0,D S,Barcelona,0,0.08980410918593407,2.7209744602441788,2.1519412845373154
11151,Marc Casadó,6,303,0,0.10534524824470282,1,0.12939221411943436,4,5,0,0,M S,Barcelona,0,0.10534524824470282,3.6220923513174057,3.489708811044693
12005,Pau Cubarsí,6,526,0,0.2553307116031647,0,0.2965577282011509,3,2,0,0,D,Barcelona,0,0.2553307116031647,4.541647937148809,4.541647937148809
12820,Marc Bernal,2,9,0,0,1,0.5099553465843201,0,1,0,0,S,Barcelona,0,0,0.5099553465843201,0.5099553465843201
12821,Gerard Martín,7,390,0,0.01650591380894184,0,0.45809324737638235,1,6,1,0,D S,Barcelona,0,0.01650591380894184,3.445766581222415,3.0640779118984938
13110,Toni Fernández,1,48,0,0,0,0.08811617642641068,0,1,0,0,F,Barcelona,0,0,0.08811617642641068,0
13748,Jofre Torrents,2,30,0,0,0,0,0,0,0,0,S,Barcelona,0,0,1.2118503153324127,1.2118503153324127
13749,Dro Fernández,1,48,0,0,0,0.05164836347103119,0,2,0,0,M,Barcelona,0,0,0.05164836347103119,0
14064,Roony Bardghji,5,155,0,0.9467628411948681,0,0.8982919603586197,9,5,0,0,M S,Barcelona,0,0.9467628411948681,2.318600073456764,1.664001453667879
