situation,formation,gameState,timing,shotZone,attackSpeed,result
"{'shots': 124, 'goals': 16, 'xG': 17.432145829312503, 'against': {'shots': 39, 'goals': 6, 'xG': 8.213523649610579}}",,,,,,
"{'shots': 27, 'goals': 5, 'xG': 3.009204663336277, 'against': {'shots': 11, 'goals': 1, 'xG': 0.7660349365323782}}",,,,,,
"{'shots': 6, 'goals': 0, 'xG': 0.33869922161102295, 'against': {'shots': 1, 'goals': 0, 'xG': 0.03509846329689026}}",,,,,,
"{'shots': 5, 'goals': 0, 'xG': 0.16525724157691002, 'against': {'shots': 3, 'goals': 0, 'xG': 0.3143149493262172}}",,,,,,
"{'shots': 2, 'goals': 1, 'xG': 1.4865552186965942, 'against': {'shots': 2, 'goals': 2, 'xG': 1.4865552186965942}}",,,,,,
,"{'stat': '4-2-3-1', 'time': 656, 'shots': 144, 'goals': 18, 'xG': 18.278580642305315, 'against': {'shots': 53, 'goals': 9, 'xG': 10.59957798756659}}",,,,,
,"{'stat': '4-3-3', 'time': 93, 'shots': 16, 'goals': 3, 'xG': 2.9642896950244904, 'against': {'shots': 3, 'goals': 0, 'xG': 0.21594922989606857}}",,,,,
,"{'stat': '3-2-4-1', 'time': 14, 'shots': 4, 'goals': 1, 'xG': 1.1889918372035027, 'against': {'shots': 0, 'goals': 0, 'xG': 0}}",,,,,
,,"{'stat': 'Goal diff 0', 'time': 343, 'shots': 61, 'goals': 7, 'xG': 7.65379804931581, 'against': {'shots': 19, 'goals': 4, 'xG': 5.020352370105684}}",,,,
,,"{'stat': 'Goal diff > +1', 'time': 156, 'shots': 41, 'goals': 6, 'xG': 4.285242389887571, 'against': {'shots': 9, 'goals': 0, 'xG': 0.7003940520808101}}",,,,
,,"{'stat': 'Goal diff -1', 'time': 124, 'shots': 29, 'goals': 3, 'xG': 4.911650313064456, 'against': {'shots': 14, 'goals': 3, 'xG': 2.918218584731221}}",,,,
,,"{'stat': 'Goal diff +1', 'time': 124, 'shots': 27, 'goals': 4, 'xG': 4.9609330939128995, 'against': {'shots': 11, 'goals': 1, 'xG': 1.581206863746047}}",,,,
,,"{'stat': 'Goal diff < -1', 'time': 16, 'shots': 6, 'goals': 2, 'xG': 0.6202383283525705, 'against': {'shots': 3, 'goals': 1, 'xG': 0.5953553467988968}}",,,,
,,,"{'stat': '1-15', 'shots': 24, 'goals': 2, 'xG': 2.657926566898823, 'against': {'shots': 7, 'goals': 2, 'xG': 2.12340047955513}}",,,
,,,"{'stat': '16-30', 'shots': 15, 'goals': 2, 'xG': 1.312331804074347, 'against': {'shots': 7, 'goals': 1, 'xG': 2.172009908594191}}",,,
,,,"{'stat': '31-45', 'shots': 23, 'goals': 3, 'xG': 3.6290511516854167, 'against': {'shots': 6, 'goals': 2, 'xG': 1.3298544865101576}}",,,
,,,"{'stat': '46-60', 'shots': 34, 'goals': 7, 'xG': 5.375369515269995, 'against': {'shots': 13, 'goals': 1, 'xG': 2.1778101539239287}}",,,
,,,"{'stat': '61-75', 'shots': 31, 'goals': 4, 'xG': 3.9084856379777193, 'against': {'shots': 11, 'goals': 1, 'xG': 0.9975552335381508}}",,,
,,,"{'stat': '76+', 'shots': 37, 'goals': 4, 'xG': 5.548697498627007, 'against': {'shots': 12, 'goals': 2, 'xG': 2.0148969553411007}}",,,
,,,,"{'stat': 'ownGoals', 'shots': 1, 'goals': 1, 'xG': 1, 'against': {'shots': 0, 'goals': 0, 'xG': 0}}",,
,,,,"{'stat': 'shotOboxTotal', 'shots': 61, 'goals': 5, 'xG': 2.529329518787563, 'against': {'shots': 9, 'goals': 1, 'xG': 0.1849915413185954}}",,
,,,,"{'stat': 'shotPenaltyArea', 'shots': 89, 'goals': 11, 'xG': 13.08709804341197, 'against': {'shots': 44, 'goals': 8, 'xG': 9.691064110957086}}",,
,,,,"{'stat': 'shotSixYardBox', 'shots': 13, 'goals': 5, 'xG': 5.815434612333775, 'against': {'shots': 3, 'goals': 0, 'xG': 0.9394715651869774}}",,
,,,,,"{'stat': 'Normal', 'shots': 107, 'goals': 14, 'xG': 14.986965700052679, 'against': {'shots': 29, 'goals': 4, 'xG': 6.74822848290205}}",
,,,,,"{'stat': 'Standard', 'shots': 40, 'goals': 6, 'xG': 4.999716345220804, 'against': {'shots': 17, 'goals': 3, 'xG': 2.60200356785208}}",
,,,,,"{'stat': 'Slow', 'shots': 14, 'goals': 1, 'xG': 1.9511474817991257, 'against': {'shots': 4, 'goals': 0, 'xG': 0.6371581749990582}}",
,,,,,"{'stat': 'Fast', 'shots': 3, 'goals': 1, 'xG': 0.4940326474606991, 'against': {'shots': 6, 'goals': 2, 'xG': 0.8281369917094707}}",
,,,,,,"{'shots': 46, 'goals': 0, 'xG': 5.164244816638529, 'against': {'shots': 17, 'goals': 0, 'xG': 1.2414732640609145}}"
,,,,,,"{'shots': 44, 'goals': 0, 'xG': 3.6049918942153454, 'against': {'shots': 16, 'goals': 0, 'xG': 3.784741126000881}}"
,,,,,,"{'shots': 45, 'goals': 0, 'xG': 3.8461370021104813, 'against': {'shots': 13, 'goals': 0, 'xG': 1.7675837175920606}}"
,,,,,,"{'shots': 22, 'goals': 22, 'xG': 7.755824748426676, 'against': {'shots': 9, 'goals': 9, 'xG': 3.9060645308345556}}"
,,,,,,"{'shots': 7, 'goals': 0, 'xG': 2.060663713142276, 'against': {'shots': 1, 'goals': 0, 'xG': 0.11566457897424698}}"
